TCM_symptom_id,TCM_symptom_name,Symptom_pinYin,Symptom_definition,Symptom_locus,Symptom_property,Type,Version,Suppress
402,呼吸气促,Hu Xi Qi Cu,呼吸气促，指自觉呼吸短促，气息急迫，甚则张口抬肩，不能平卧之候。其病机属气机上逆，肺失肃降。多因外邪束表、痰浊壅肺、肝火犯肺或肾不纳气所致，致使肺气郁闭或虚气上奔，气道不利而喘促作矣。,,气逆,Ontological terms,"v1,v2",0
403,滑精,Hua Jing,“滑精”又称“滑泄”，是指夜间无梦而遗，甚至清醒时精液自动滑出的病症。滑精是遗精的一种，是遗精发展到了较重的病态阶段。专家提醒：滑精需要及早治疗，症状严重的要及时到医院诊断治疗，以免造成其他更严重疾病的出现。 滑精又称“滑泄 ”，指夜间无梦而遗，甚至清醒时精液自动滑出的病症。,膀胱,肾虚,Ontological terms,"v1,v2",0
404,化脓,Hua Nong,化脓是因为破损的伤口或组织被病菌感染而所发生的病理变化，70%是直接受到了由化脓性链球菌(Streptococcus pyogenes)引起的感染。化脓同时会伴有脓液，是机体组织炎症过程中形成的浓稠或稀薄的混和物，炎症过程中细胞、组织在细菌和中性粒细胞释放的蛋白溶解酶的作用下发生液化坏死，加上血管的液体渗出，形成肉眼呈灰黄色或黄白色的浓稠状液体。其处理方法主要有：清理伤口感染，消毒或去医院处理。,,湿热,Synonymous terms,"v1,v2",0
405,黄疸,Huang Dan,黄疸是常见症状与体征，其发生是由于胆红素代谢障碍而引起血清内胆红素浓度升高所致。临床上表现为巩膜、黏膜、皮肤及其他组织被染成黄色。因巩膜含有较多的弹性硬蛋白，与胆红素有较强的亲和力，故黄疸患者巩膜黄染常先于黏膜、皮肤而首先被察觉。当血清总胆红素在17.1～34.2μmol/L，而肉眼看不出黄疸时，称隐性黄疸或亚临床黄疸；当血渍总胆红素浓度超过34.2μmol/L时，临床上即可发现黄疸，也称为显性黄疸。,肝,湿热,Ontological terms,"v1,v2",0
406,黄痰,Huang Tan,黄痰，指痰色黄稠，多属肺经湿热。临床表现为咳吐黄稠痰，或黄绿痰，量多易出，或伴胸脘痞闷、身热不扬。其病机为湿热蕴肺，肺失宣肃，热灼津液，炼液为痰，湿与热合，故痰色黄而质稠。,肺,湿热,Ontological terms,"v1,v2",0
407,会阴少腹腰骶部疼痛,Hui Yin Shao Fu Yao Di Bu Teng Tong,肾虚失于温养，致会阴、少腹及腰骶部绵绵作痛，遇劳加重，属虚证内痛。,,肾虚,Synonymous terms,"v1,v2",0
408,昏厥,Hun Jue,昏厥是以突然昏倒，不省人事为特征的内科急症。,心,气血上逆,Synonymous terms,"v1,v2",0
409,昏迷,Hun Mi,"昏迷是由于大脑功能受到极度抑制而意识丧失和随意运动消失，而且对刺激无反应或出现异常反射活动的病理状态。值得注意的是，昏迷与嗜睡、昏睡是不相同的。昏迷是内科急症中常见的症状之一，约占急诊总人数的3%~5%，病死率高达20%，涉及多专业，多学科知识。由于昏迷患者无法提供病史及配合检查，给诊断、治疗带来一定的困难,这就需要临床医生详细询问送诊人员昏迷患者病史及认真体检，进行必要的辅助检查,才能在第一时间内做出正确诊治。",心,气血上逆,Ontological terms,"v1,v2",0
410,昏仆,Hun Pu,昏仆指突然昏倒、不省人事，病位在心，因气血上逆、蒙蔽清窍所致，属本虚标实之危候。,心,气血上逆,Synonymous terms,"v1,v2",0
411,昏睡,Hun Shui,昏睡（lethargy），指意识障碍比意识模糊更重，环境意识及自我意识均丧失，以过度睡眠为主要临床表现。患者处于熟睡状态，只有强刺激才可被唤醒，醒后答非所问，停止刺激后即进入熟睡状态。此为意识障碍的一种表现。此外，昏睡病是指一种特殊的疾病，在非洲由锥虫侵入人体所致。,心,痰湿,Synonymous terms,"v1,v2",0
412,活动受限,Huo Dong Shou Xian,活动受限，医学专用术语，指人或者动物等生命体的运动遭受到限制，通常指人的各个关节活动、行走等基本运动固定在特定范围，并弱于健康时的运动范围、幅度、频率等。,,经络不通,Synonymous terms,"v1,v2",0
413,活动障碍,Huo Dong Zhang Ai,活动障碍因经络不通所致，指肢体屈伸、转侧不利，气血运行涩滞，机关失于滑利，临床可见麻木、拘挛或痿软不用。,,经络不通,Synonymous terms,"v1,v2",0
414,肌肤红,Ji Fu Hong,肌肤红为热邪壅滞皮肤，营血受灼，脉络充盈，外现红色，主热证。,皮肤,热,Synonymous terms,"v1,v2",0
415,肌肤下肿块数处,Ji Fu Xia Zhong Kuai Shu Chu,肌肤下肿块数处，乃痰湿凝结于皮腠之候。其肿块大小不一，或圆或椭，触之柔软，推之可移，皮色如常，不红不热，亦无痛痒。多因脾失健运，水湿内停，聚而成痰，流注皮下所致。,皮肤,痰湿,,v1,1
416,肌肤下肿块一处,Ji Fu Xia Zhong Kuai Yi Chu,肌肤下出现单个肿块，多因痰湿凝聚于皮腠之间，触之柔软或囊性，不红不痛，属痰核范畴。,皮肤,痰湿,Synonymous terms,"v1,v2",0
417,肌肤肿块数处,Ji Fu Zhong Kuai Shu Chu,肌肤肿块数处，系指皮肤局部出现多个大小不等、质地柔软或韧硬、推之可移、皮色不变、不痛或微痛之结节或包块。其病位在皮肤，病性属痰湿。多因脾失健运，水湿内停，聚湿生痰，痰浊流注于肌肤腠理之间，凝结成块所致。,皮肤,痰湿,,v1,1
418,肌肤肿块一处 推之能动,Ji Fu Zhong Kuai Yi Chu   Tui Zhi Neng Dong,肌肤出现可推动的肿块，乃痰湿凝聚于皮腠之间，结聚成核，其性流动，故推之能移。,皮肤,痰湿,Synonymous terms,"v1,v2",0
419,肌肉关节酸痛,Ji Rou Guan Jie Suan Tong,肌肉关节酸痛，病在四肢，属湿热为患。症见肢体沉重酸楚，关节灼热胀痛，屈伸不利，或伴局部红肿，午后加剧，小便黄赤，舌苔黄腻，脉濡数。其因多由外感湿热之邪，或嗜食肥甘，脾失健运，湿郁化热，流注四肢关节，阻滞经络，气血不通所致。,四肢,湿热,Ontological terms,"v1,v2",0
420,肌肉红肿热痛,Ji Rou Hong Zhong Re Tong,四肢肌肉红肿热痛，乃火热毒邪壅滞肌肤经络，气血凝滞不通所致，属阳证、热证。,四肢,火热,Synonymous terms,"v1,v2",0
421,肌肉剧痛,Ji Rou Ju Tong,四肢肌肉灼热剧痛，多因火热之邪壅滞经络，气血燔灼不通所致。,四肢,火热,Synonymous terms,"v1,v2",0
422,肌肉麻木,Ji Rou Ma Mu,四肢肌肉麻木，乃气血虚弱，脉络失养，肌肤不荣所致。,四肢,气血虚弱,Synonymous terms,"v1,v2",0
423,肌肉疲劳,Ji Rou Pi Lao,肌肉疲劳（muscle fatigue） 身体肌肉承受工作活动产生的疲劳。主要表现为乏力，工作能力减弱，工作效率降低，注意涣散，操作速度减慢，动作的协调性和灵活性降低，差错及事故发生率增加，工作满意感降低等。存在明显的个体差异。身体素质、营养状况、性别、年龄、工作动机和责任心等因素都对其有显著影响。有许多理论试图解释其产生机制，其中以中枢学说、代谢物积累学说和能源耗尽学说较有代表性。中枢学说认为，大脑有关区域持续兴奋导致的抑制性保护及抑制在大脑中的扩散是其产生的根本原因。代谢物积累学说认为，其产生是由于工作过程中代谢物（如乳酸）的不断产生与积累，使人体产生类似中毒的效应。能源耗尽学说认为，长期活动造成体内能源物质（如肌糖元）消耗殆尽，影响肌肉、大脑和各组织器官的能量供应，使人体丧失继续工作的能力。一般从工作绩效、主观反应和生理生化等方面对其作出综合评价。合理休息是其消除的最重要途径。除静止休息外，也可通过不断地变换工作使不同肌肉交替得到休息。科学地进行工作设计，让工作环境和工作负荷等处于最佳状态，也是使之减轻或延迟出现的重要措施。,四肢,脾虚,Synonymous terms,"v1,v2",0
424,肌肉酸麻,Ji Rou Suan Ma,肌肉酸麻，四肢为气虚所主，气不足以充养，则酸软麻木，动则尤甚。,四肢,气虚,Synonymous terms,"v1,v2",0
425,肌肉酸痛,Ji Rou Suan Tong,肌肉酸痛（muscle soreness）可由运动、感染性疾病等疾病引起。其理论有：①组织牵引：肌肉损伤而起。②肌肉痉挛：肌肉的反复性抽筋而起。③结缔组织：肌肉的结缔组织受伤（如肌腱）而起。事实上，肌肉的慢性酸痛是肌肉的损伤分裂所形成。,四肢,经络不通,Synonymous terms,"v1,v2",0
426,肌肉疼痛,Ji Rou Teng Tong,肌肉疼痛是一个很广泛的症状，很多疾病都可以导致肌肉疼痛，最常见的当属剧烈运动后引起的肌肉生理性酸痛，原因为肌肉局部无氧酵解产生过多乳酸，堆积在局部，刺激神经末梢从而产生酸痛。而疾病导致的肌肉疼痛见于下列疾病：,四肢,经络不通,Synonymous terms,"v1,v2",0
427,肌肉萎缩,Ji Rou Wei Suo,肌肉萎缩（myatrophy；myophagism）是指横纹肌营养障碍，肌肉纤维变细甚至消失等导致的肌肉体积缩小。多由肌肉本身疾患或神经系统功能障碍所致，病因主要有：神经源性肌萎缩、肌源性肌萎缩、废用性肌萎缩和其他原因性肌萎缩。肌肉营养状况除肌肉组织本身的病理变化外，更与神经系统有密切关系。脊髓疾病常导致肌肉营养不良而发生肌肉萎缩。肌萎缩患者由于肌肉萎缩、肌无力而长期卧床，易并发肺炎、压疮等，加之大多数患者出现延髓麻痹症状，给患者生命构成极大的威胁,四肢,气虚,Synonymous terms,"v1,v2",0
428,肌痩,Ji Shou,肌瘦指四肢肌肉萎缩、瘦削无力，多因气虚不能充养四肢所致，常见于脾胃虚弱或久病体虚之证。,四肢,气虚,Synonymous terms,"v1,v2",0
429,肌痿无力,Ji Wei Wu Li,肌痿无力，指四肢肌肉痿软松弛，收缩无力，甚则不能持物或步履。多因脾胃气虚，运化失职，气血生化乏源，四肢肌肉失于濡养所致。临床常伴神疲乏力、食少便溏、面色萎黄等症，病势缠绵，属虚证范畴。,四肢,气虚,Ontological terms,"v1,v2",0
430,积聚痞块,Ji Ju Pi Kuai,四肢出现因痰浊与瘀血互结形成的固定不移、按之有形或自觉痞塞不通的肿块。,四肢,痰瘀,Synonymous terms,"v1,v2",0
431,积滞,Ji Zhi,积滞，中医病名。积滞是因小儿喂养不当，内伤乳食，停积胃肠，脾运失司所引起的一种小儿常见的脾胃病证。临床以不思乳食，腹胀嗳腐，大便酸臭或便秘为特征。食积又称积滞。与西医学消化不良相近。本病一年四季皆可发生，夏秋季节，暑湿易于困遏脾气，发病率较高。小儿各年龄组皆可发病，但以婴幼儿多见。常在感冒、泄泻、疳证中合并出现。,脾,气滞,Ontological terms,"v1,v2",0
432,积滞不消,Ji Zhi Bu Xiao,积滞不消，指饮食停滞中焦，气机阻滞，运化失司之证。多由饮食不节，或脾胃虚弱，纳运不及所致。临床以脘腹胀满、嗳腐吞酸、厌食呕恶、大便不爽或秘结、舌苔厚腻、脉滑或弦涩为主要表现。其病机核心为食滞与气滞相搏，壅塞胃腑，升降失常。,脾胃,气滞,,v1,1
433,积滞内停,Ji Zhi Nei Ting,积滞内停，指饮食不节或脾胃运化失职，致食、湿、气等病理产物壅滞中焦，气机阻滞之证。病位在脾胃，病性属气滞。症见脘腹胀满疼痛，嗳腐吞酸，纳呆厌食，大便不爽或秘结，舌苔厚腻，脉滑或弦。其病机为脾胃升降失常，气机壅塞，传化失司。,脾胃,气滞,,v1,1
434,积滞胀满,Ji Zhi Zhang Man,积滞胀满，指因脾胃运化失职，气机壅滞所致之脘腹痞塞不舒、胀满拒按之症。临床多见脘腹胀满，食后尤甚，嗳气频作，矢气则舒，或伴纳呆、便秘。其病机多由饮食不节、情志失调，致脾胃升降失常，气滞中焦，聚而不散。,脾胃,气滞,,v1,1
435,急喉痹,Ji Hou Bi,急喉痹，病名。指多种原因所致的急性阻塞性喉病。症见咽喉肿痛迅速，胸闷气促、吞咽不利，痰涎壅盛、声如拽锯,,热毒,Synonymous terms,"v1,v2",0
436,急性起并半身不遂,Ji Xing Qi Bing Ban Shen Bu Sui,急性起病、半身不遂，属火热之邪燔灼肝经，迫血妄行或炼液成痰，阻滞经络，致气血逆乱、肢体失用。,,火热,Synonymous terms,"v1,v2",0
437,急躁易怒,Ji Zao Yi Nu,急躁易怒指患者情绪亢奋、难以自制，动辄发怒，多因肝火亢盛或心火炽热，火热内扰神明所致。,,火热,Synonymous terms,"v1,v2",0
438,记忆减退,Ji Yi Jian Tui,记忆减退是一种记忆障碍， 临床上较多见，可以表现为远记忆力和近记忆力的减退。主要见于脑器质性精神障碍。脑器质性损害患者最早出现的是近记忆力的减退，患者记不住最近几天，甚至当天的进食情况，或记不住近几天谁曾前来看望等等。病情严重后远记忆力也减退，例如，回忆不起本人经历等。,心,肾虚,Synonymous terms,"v1,v2",0
439,记忆力减退,Ji Yi Li Jian Tui,记忆力减退是记忆包括识记、保持、再认或回忆三个基本过程，可分 为瞬时记忆（半分钟内）、近记忆（数天内）、远记忆（数月至数年）。记忆的三个基 本过程普遍减退称为记忆力减退，临床多见，是精神障碍的常见表现。,心,肾虚,Synonymous terms,"v1,v2",0
440,甲状腺肿大,Jia Zhuang Xian Zhong Da,单纯性甲状腺肿是甲状腺功能正常的甲状腺肿，是以缺碘、致甲状腺肿物质或相关酶缺陷等原因所致的代偿性甲状腺肿大，不伴有明显的甲状腺功能亢进或减退，故又称非毒性甲状腺肿，其特点是散发于非地方性甲状腺肿流行区，且不伴有肿瘤和炎症，病程初期甲状腺多为弥漫性肿大，以后可发展为多结节性肿大。,,气郁,Ontological terms,"v1,v2",0
441,肩背酸痛,Jian Bei Suan Tong,肩背酸痛，指肩胛及背部肌肉筋脉酸楚疼痛、活动欠利之症。病位在四肢，属经络不通。临床表现为肩背沉重酸胀，痛处固定或游走，常伴僵硬、转侧不利。其病因多由风寒湿邪侵袭、气血瘀滞或劳损日久，致太阳、少阳经脉痹阻，气血运行不畅，不通则痛。,四肢,经络不通,Ontological terms,"v1,v2",0
442,肩臂疼痛,Jian Bi Teng Tong,肩臂疼痛，指肩部及上臂部位出现酸楚、胀痛、重着或活动受限之症，病位在四肢，属经络不通。其临床表现常为肩臂牵掣作痛，或麻木不仁，抬举、屈伸不利，遇寒则甚，得温稍缓。病因多由风寒湿邪侵袭，或劳损外伤，致手三阳、手三阴经气痹阻，气血运行不畅，不通则痛。,四肢,经络不通,Ontological terms,"v1,v2",0
443,肩部疼痛重着,Jian Bu Teng Tong Zhong Zhao,肩部疼痛重着，指肩部酸痛、沉重、活动不利，多因风湿之邪痹阻经络，湿性重浊黏滞所致。,四肢,风湿,Synonymous terms,"v1,v2",0
444,肩颈疼痛,Jian Jing Teng Tong,肩颈疼痛，病在四肢，乃经络气血运行不畅，不通则痛，常因风寒湿邪或劳损所致。,四肢,经络不通,Synonymous terms,"v1,v2",0
445,肩疼痛,Jian Teng Tong,肩疼痛，系指肩部经脉气血运行不畅所致之疼痛。其症多见肩关节酸楚、胀痛或刺痛，活动受限，甚则牵及臂肘，遇寒加重，得温稍减。病位在四肢之肩部，病性属经络不通。多因风寒湿邪侵袭，或劳损外伤，致气血凝滞，脉络痹阻，不通则痛。,四肢,经络不通,Ontological terms,"v1,v2",0
446,睑弦赤烂,Jian Xian Chi Lan,睑弦赤烂，中医病名。指睑弦部潮红溃烂，或眦部睑弦潮红糜烂，俗称烂眼边或烂弦风。临床以睑弦潮红、溃烂刺痒为特征，且容易复发。本病包括西医学之鳞屑性、溃疡性、眦角性睑缘炎。,肝,火热,Ontological terms,"v1,v2",0
447,健忘,Jian Wang,健忘是指记忆力差、遇事易忘的症状。常见于老年人。,心脑,肾虚,Ontological terms,"v1,v2",0
448,舰血,Jian Xie,舰血，指排便时血液随粪便而下，或单纯下血，其色鲜红或暗红，多由大肠湿热、风热客于肠络，或热毒蕴结、阴络受损所致。临床表现为大便带血，或便前、便后下血，血色鲜红者多属热，暗红者多夹瘀，常伴腹痛、肛门灼热或里急后重。,大肠,,,v1,1
449,僵硬,Jiang Ying,指不灵活；肢体不能活动自如,,经络不通,Synonymous terms,"v1,v2",0
450,僵硬畸形,Jiang Ying Ji Xing,僵硬畸形，指关节或肢体屈伸不利、形态改变，多由痰浊瘀血互结，阻滞经络筋骨所致。,,痰瘀,Synonymous terms,"v1,v2",0
451,焦虑,Jiao Lv,焦虑是人类在与环境作斗争及生存适应的过程中发展起来的基本人类情绪，焦虑并不意味着都是有临床意义的病理情绪，在应激面前适度的焦虑具有积极的意义，它可以充分地调动身体各脏器的机能，适度提高大脑的反应速度和警觉性。只有具备某些病理性特征同时对正常的社会功能造成影响时，才称为病理性焦虑。,心,气郁,Ontological terms,"v1,v2",0
452,脚气,Jiao Qi,足癣（俗名“香港脚”、脚气），系真菌感染引起，其皮肤损害往往是先单侧（即单脚）发生，数周或数月后才感染到对侧。水疱主要出现在趾腹和趾侧，最常见于三四趾间，足底亦可出现，为深在性小水疱，可逐渐融合成大疱。足癣的皮肤损害有一特点，即边界清楚，可逐渐向外扩展。因病情发展或搔抓，可出现糜烂、渗液，甚或细菌感染，出现脓疱等。,肾,湿热,Ontological terms,"v1,v2",0
453,脚气浮肿,Jiao Qi Fu Zhong,脚气浮肿，指湿热下注于肾，壅遏气机，水湿泛溢所致之足胫肿胀。临床可见双足或踝部浮肿，按之凹陷，皮色光亮，伴灼热、酸重或疼痛，甚则溃烂流水。其病机多因外感水湿，或嗜食肥甘，酿生湿热，下注肾经，阻滞经络，气化不利，水湿停聚而成。,肾,湿热,Ontological terms,"v1,v2",0
454,脚重,Jiao Zhong,湿热下注于肾，经络壅滞，气血不畅，故觉下肢沉重如坠，步履艰难。,肾,湿热,Synonymous terms,"v1,v2",0
455,疖肿,Jie Zhong,疖肿是人体皮肤单个毛囊或皮脂腺因细菌感染引起的急性化脓性感染，感染后形成较大块的红色肿物。多发及反复发作的，称之为疖病。,皮肤,湿热,Ontological terms,"v1,v2",0
456,结节,Jie Jie,指生物体表面或内部组织中圆形的小突起。耻骨、坐骨、丘脑、颏部等都有结节,皮肤,痰湿,Synonymous terms,"v1,v2",0
457,疥癣,Jie Xian,疥”、“癣”都是皮肤表面的疾病，人们常用来比喻有关痛痒，但无碍生命的小问题。 “疥” 是象形字，描述钻入人体的寄生虫尖头甩尾的样子，现代医学称之为疥虫。疥虫的腭体很小，位于躯干的前端，一半陷入躯干中，螯肢呈钳形，适宜于食用皮肤的角质蛋白。疥虫的躯干的后半部有几对杆状的刚毛和长鬃。疥虫往往是夜行昼伏，导致晚上病人皮肤往往瘙痒剧烈。疥虫一般侵袭毛发浓密处，比如阴毛、腋毛、头发等处，出现红疹，导致瘙痒。由于人抓挠极易一起皮肤破溃感染，愈合后造成脱发、局部形成疮疤，俗称疥癞或疥癞头。,皮肤,血热,Ontological terms,"v1,v2",0
458,疥癣瘙痒,Jie Xian Sao Yang,疥癣瘙痒，指因血热内蕴，外发肌肤所致之皮肤瘙痒，伴见丘疹、水疱、结痂等癣状皮损。其痒甚，入夜尤剧，搔破则津血或滋水，皮色鲜红或暗红。病机为热伏营血，风邪相搏，郁于腠理，不得疏泄。,皮肤,血热,Ontological terms,"v1,v2",0
459,津伤,Jin Shang,津伤，指热盛耗灼津液所致之病理状态。多因外感温热之邪，或内热炽盛，煎灼津液而成。临床表现为口干舌燥、咽干欲饮、皮肤干瘪、目眶凹陷、小便短赤、大便干结，甚则津枯液涸，可见舌红少津、苔黄燥或光剥无苔，脉细数。其病机为热盛伤津，津液亏虚，失于濡润。,,热盛,,v1,1
460,筋骨酸痛,Jin Gu Suan Tong,全身肌肉关节受风、寒、暑、湿、燥、火“六淫”侵袭、或外伤、慢性劳损，透皮入骨致病而形成“六毒”，就是我们平常所说的“骨毒”。“骨毒”长期存在于骨与骨膜之上形成“宿毒”。宿毒使得骨及关节周围软织反复充血、水肿、粘连、挛缩，从而导致局部血液循环障碍，产生大量酸性物质刺激血管，损害肌肉组织，表现为肌肉筋骨关节酸痛，麻木、肿胀，甚至红肿变形，重者会造成关节骨质的破坏，关节变形，生活不能自理,四肢,经络不通,Ontological terms,"v1,v2",0
461,筋骨疼痛,Jin Gu Teng Tong,筋骨疼痛，指四肢筋脉、骨节间之酸楚、胀痛或刺痛，常伴屈伸不利、转侧艰难。其病位在四肢，病性属经络不通。多因风寒湿邪侵袭，或跌扑损伤、气血瘀滞，致经气痹阻，不通则痛。临床以肢体沉重、活动受限为特征，得温稍减，遇寒或劳则加重。,四肢,经络不通,Ontological terms,"v1,v2",0
462,筋骨痿软,Jin Gu Wei Ruan,筋骨痿软，指四肢筋脉弛缓、骨骼软弱无力，甚则肌肉萎缩、不能持物或步履之症。其病位在四肢，病性属虚，病势多缓。多因肾精亏虚，骨髓失充，筋骨失养所致。临床常见肢体痿弱不用，腰膝酸软，伴头晕耳鸣、齿摇发堕等肾虚之象。,四肢,肾虚,Ontological terms,"v1,v2",0
463,筋骨无力,Jin Gu Wu Li,筋骨无力，指四肢筋脉弛缓、骨节软弱，表现为肢体懈惰、抬举无力、持物不牢、步履蹒跚，甚则痿废不用。其病位在四肢，病性属虚，多因肾精亏虚，骨髓失充，筋骨失养所致。肾主骨生髓，肾虚则髓减骨弱，筋脉失濡，故见无力之候。,四肢,肾虚,Ontological terms,"v1,v2",0
464,筋骨瘀痛,Jin Gu Yu Tong,筋骨瘀痛指四肢因血行不畅、瘀阻脉络，致筋骨失养而出现的刺痛、固定痛或活动不利，常伴局部青紫肿胀。,四肢,血瘀,Synonymous terms,"v1,v2",0
465,筋脉拘急,Jin Mai Ju Ji,指肢体筋脉抽瘛，屈伸不利的症候,四肢,经络不通,Synonymous terms,"v1,v2",0
466,筋脉拘挛,Jin Mai Ju Luan,筋脉拘挛，指四肢筋脉收缩、牵引，致关节屈伸不利、活动受限之症。临床表现为肢体肌肉紧张、痉挛，甚则抽搐、疼痛，多见于手足。其病机多因风寒湿邪侵袭，或气血亏虚、筋脉失养，致经络不通，气血运行涩滞，筋脉失于濡润而挛急。,四肢,经络不通,Ontological terms,"v1,v2",0
467,筋扭伤,Jin Niu Shang,筋扭伤指四肢筋脉因外力扭转而受损，导致局部气血运行不畅，形成血瘀，临床表现为肿胀、疼痛、活动受限。,四肢,血瘀,Synonymous terms,"v1,v2",0
468,筋伤,Jin Shang,各种暴力或慢性劳损等原因所造成筋的损伤,四肢,血瘀,Ontological terms,"v1,v2",0
469,噤口痢,Jin Kou Li,噤口痢是属于痢疾之一。见《丹溪心法·痢》。亦称禁口痢。指患痢疾而见饮食不进，食入即吐，或呕不能食者。常见于疫痢、湿热痢重症。多因湿浊热毒蕴结肠中，邪毒亢盛，胃阴受劫，升降失常；或因久病脾胃两伤，中气败损所致。症见不思饮食，呕恶不纳，下痢频繁，肌肉瘦削，胸脘痞闷，舌绛，苔黄腻等。治疗可选用清热、解毒、辟秽、降逆、和阴、益气等法。,大肠,湿热,Ontological terms,"v1,v2",0
470,经闭,Jing Bi,指妇女月经不能正常来潮,子宫,瘀血,Ontological terms,"v1,v2",0
471,经初行不畅,Jing Chu Xing Bu Chang,经初行不畅，指月经来潮初期排出涩滞困难，多因子宫瘀血阻滞胞脉，血行受阻所致。,子宫,瘀血,Synonymous terms,"v1,v2",0
472,经寒不调,Jing Han Bu Diao,经寒不调，系因子宫虚寒，阳气不足，寒凝胞宫所致。临床以月经后期、量少色黯、夹有血块，或经行腹痛、得热痛减，伴畏寒肢冷、腰膝酸软、带下清稀、小便清长、舌淡苔白、脉沉迟或沉紧为主要表现。其病机为肾阳亏虚，胞宫失于温煦，寒凝血滞，冲任失调。,子宫,阳虚,Ontological terms,"v1,v2",0
473,经行腹痛,Jing Xing Fu Tong,指行经期间出现下腹部及腰部疼痛，经净后即缓解痛止,子宫,血瘀,Ontological terms,"v1,v2",0
474,经行量少,Jing Xing Liang Shao,经行量少，指月经周期基本正常，而经量明显减少，甚或点滴即净，或行经时间不足两日者。病位在子宫，病性属血瘀。多因寒凝气滞，或情志不畅，致瘀血阻滞胞宫，冲任不畅，血行受阻，故经来涩少，色紫黯有块，伴小腹刺痛拒按，块下痛减。,子宫,血瘀,Ontological terms,"v1,v2",0
475,经行痛减,Jing Xing Tong Jian,经行时瘀血随经血排出，胞脉暂通，故疼痛缓解，提示血瘀得泄而痛势暂减。,子宫,血瘀,Synonymous terms,"v1,v2",0
476,经行小腹冷痛,Jing Xing Xiao Fu Leng Tong,经行小腹冷痛，系因子宫阳虚，寒凝胞脉，经血运行不畅所致，临床表现为经期小腹冷痛，得热痛减。,子宫,阳虚,Synonymous terms,"v1,v2",0
477,经行小腹疼痛,Jing Xing Xiao Fu Teng Tong,经行之际，胞宫气血壅滞，瘀阻冲任，不通则痛，故见小腹疼痛。,子宫,血瘀,Synonymous terms,"v1,v2",0
478,经行小腹喜热,Jing Xing Xiao Fu Xi Re,经行小腹喜热指每逢经期小腹得温热则舒，系胞宫阳虚、寒凝胞脉，温煦失职所致。,子宫,阳虚,Synonymous terms,"v1,v2",0
479,经行小腹胀痛,Jing Xing Xiao Fu Zhang Tong,经行小腹胀痛，病位在子宫，因气郁导致经血运行不畅，不通则痛，表现为经前或经期小腹胀痛、胀甚于痛。,子宫,气郁,Synonymous terms,"v1,v2",0
480,经量少有血块,Jing Liang Shao You Xie Kuai,经行涩少，挟有血块，乃瘀血阻滞胞宫，冲任不畅，血行不利所致。,子宫,血瘀,Synonymous terms,"v1,v2",0
481,经期腹痛,Jing Qi Fu Tong,经期腹痛是指女性在月经期间出现的下腹部疼痛现象。这是一种较为常见的妇科症状，与前列腺素水平变化、盆腔器质性疾病等有关。一般来讲，通过采取积极的干预措施，可以使腹痛症状有效地减轻，从而提升患者的生活质量。,子宫,血瘀,Synonymous terms,"v1,v2",0
482,经期延长,Jing Qi Yan Chang,经期延长，中医病名。是指月经周期基本正常，行经时间超过7天以上，甚或淋漓半月方净者，称为月经延长。本病相当于西医学排卵型功能失调性子宫出血病的黄体萎缩不全者、盆腔炎症、子宫内膜炎等引起的经期延长。宫内节育器和输卵管结扎后引起的经期延长也按本病治疗。本病一般预后良好。,子宫,气虚,Ontological terms,"v1,v2",0
483,经前腹痛加剧,Jing Qian Fu Tong Jia Ju,经前腹痛加剧，病位在子宫，病性属血瘀，指经期将至时胞宫气血瘀滞不通，疼痛随瘀阻加重而愈甚。,子宫,血瘀,Synonymous terms,"v1,v2",0
484,经前乳房胀痛,Jing Qian Ru Fang Zhang Tong,肝气郁结型［证见］经前乳房胀满疼痛而硬，甚则痛不可触衣；或阴中抽痛，或痛经或婚久不孕。经前常喜叹息，烦躁易怒，胸胁少腹胀痛。舌黯红或尖边红，苔薄白或微黄，脉弦或弦数。［治法］疏肝解郁，和胃消导。［方药］,子宫,任脉不通,Ontological terms,"v1,v2",0
485,经前乳胀,Jing Qian Ru Zhang,经前乳胀指月经前乳房胀痛，病位在子宫，因任脉不通、气血壅滞所致，临床常见于肝郁气滞或冲任失调。,子宫,任脉不通,Synonymous terms,"v1,v2",0
486,经前双乳胀痛,Jing Qian Shuang Ru Zhang Tong,经前双乳胀痛，指每于月经来潮前数日，双侧乳房出现胀满、疼痛或触痛，经行后渐减或消失之证。病位在子宫，与冲任二脉及肝经密切相关。其病机多因肝郁气滞，冲任失调，任脉不通，气血壅滞于乳络所致。临床常伴胸胁胀闷、烦躁易怒、月经先后不定期等症。,子宫,任脉不通,Ontological terms,"v1,v2",0
487,经前疼痛加重,Jing Qian Teng Tong Jia Zhong,经前气血下注冲任，胞宫血行瘀滞不通，故疼痛加重，属血瘀证。,子宫,血瘀,Synonymous terms,"v1,v2",0
488,经前头痛,Jing Qian Tou Tong,经前头痛因子宫血瘀，冲任气血壅滞，经前血海满盈，瘀阻清窍，故头痛随月经周期而发。,子宫,血瘀,Synonymous terms,"v1,v2",0
